symbol,name,exchange,market_category,test_issue,financial_status,round_lot_size,etf,nextshares,source_file
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,NASDAQ,S,N,E,100,N,N,nasdaqlisted.txt
AEHR,Aehr Test Systems - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AEI,Alset Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AEIS,"Advanced Energy Industries, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AEMD,"Aethlon Medical, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AENT,Alliance Entertainment Holding Corporation - common stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AENTW,Alliance Entertainment Holding Corporation - Warrants,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AEP,"American Electric Power Company, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
AERTW,"Aeries Technology, Inc. - Warrant",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AEVA,"Aeva Technologies, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AEYE,"AudioEye, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AFBI,"Affinity Bancshares, Inc. - Common Stock",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AFCG,Advanced Flower Capital Inc. - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AFJKR,"Aimei Health Technology Co., Ltd - Right",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AFJKU,"Aimei Health Technology Co., Ltd - Unit",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AFOS,ARS Focused Opportunity Strategy ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AFRI,Forafric Global PLC - Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AFRIW,Forafric Global PLC - Warrants,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AFSC,abrdn Focused U.S. Small Cap Active ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AFYA,Afya Limited - Class A Common Shares,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,NASDAQ,S,N,D,100,N,N,nasdaqlisted.txt
AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AGEM,abrdn Emerging Markets Dividend Active ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AGEN,Agenus Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AGGA,EA Astoria Dynamic Core US Fixed Income ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AGH,Aureus Greenway Holdings Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGIX,KraneShares Artificial Intelligence & Technology ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AGMB,AgomAb Therapeutics NV - ADRs representing one common share.,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AGMI,Themes Silver Miners ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AGNG,Global X Aging Population ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AGPU,Axe Compute Inc. - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AGRZ,Agroz Inc. - Ordinary Shares,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
